Plec;Wiek;Mieszka;Rodzice rozwiedzeni;Oblana klasa;Aktywnosci;W zwiazku;Spozycie
K;TAK;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;WIES;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;WYSOKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;WIES;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;WIES;NIE;NIE;TAK;TAK;NISKIE
K;NIE;WIES;NIE;NIE;TAK;TAK;NISKIE
K;NIE;WIES;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;NISKIE
M;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
K;NIE;MIASTO;NIE;NIE;TAK;TAK;SREDNIE
