Age;Gender;Occupation;WTS;Occasions;Importance;Stratum;Lifestyle;Freq
Adult;Male;Student;Small;Friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Small;Friends;Music;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Art;Sometimes
Adult;Female;Student_W;High;Friends;Pricing;Capital;Passive;Rarely
Adult;Male;Student;Small;Friends;Environment;Capital;Traveling;Frequency
Adult;Female;Student;Small;Friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student_W;High;Friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Medium;Special events;Environment;Capital;Art;Rarely
Adult;Male;Student;Small;Friends;Environment;Capital;Sport;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Traveling;Frequency
Adult;Male;Working;Medium;Special events;Environment;Capital;Nightlife;Sometimes
Adult;Male;Student;Small;Friends;Environment;Urban;Art;Sometimes
Young;Female;Student;Medium;Friends;Music;Capital;Traveling;Sometimes
Adult;Male;Student;Small;Friends;Environment;Capital;Sport;Sometimes
Adult;Female;Student;High;Birthdays;Environment;Rural;Sport;Rarely
Young;Female;Student;Medium;Friends;Environment;Urban;Art;Rarely
Adult;Female;Student_W;Small;Birthdays;Environment;Urban;Traveling;Rarely
Young;Male;Student;High;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Nightlife;Frequency
Adult;Male;Student;Small;Friends;Environment;Urban;Sport;Rarely
Adult;Male;Student_W;Medium;Friends;Environment;Capital;Passive;Sometimes
Adult;Female;Student;Small;Friends;Music;Capital;Traveling;Rarely
Adult;Female;Student;Small;Friends;Menu;Capital;Art;Sometimes
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Special events;Menu;Urban;Traveling;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Art;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Passive;Sometimes
Adult;Female;Student;Medium;Friends;Environment;Capital;Art;Rarely
Young;Male;Student;Medium;Friends;Environment;Capital;Art;Rarely
Adult;Female;Student;Medium;Special events;Environment;Urban;Art;Rarely
Adult;Male;Student;Medium;Friends;Environment;Urban;Sport;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Medium;Friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Passive;Frequency
Adult;Male;Student;Small;Friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Small;Special events;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Student;Sometimes
Adult;Female;Student;Medium;Friends;Environment;Capital;Traveling;Frequency
Adult;Male;Student;Small;Special events;Environment;Urban;Sport;Rarely
Adult;Female;Student;Medium;Friends;Environment;Capital;Art;Sometimes
Old;Female;Working;High;Friends;Music;Capital;Busy;Rarely
Adult;Female;Student_W;Small;Birthdays;Environment;Capital;Traveling;Rarely
Young;Male;Student;Medium;Friends;Environment;Capital;Passive;Rarely
Young;Male;CEO;High;Friends;Music;Capital;Sport;Rarely
Adult;Female;Student;High;Birthdays;Environment;Capital;Sport;Rarely
Adult;Female;Student;Small;Friends;Environment;Capital;Passive;Frequency
Adult;Female;Student;Small;Special events;Environment;Capital;Traveling;Rarely
Adult;Female;Student;Medium;Friends;Music;Capital;Traveling;Sometimes
Young;Female;Student;Small;Friends;Music;Urban;Art;Rarely
Adult;Female;Student;Small;Birthdays;Environment;Capital;Traveling;Rarely
Adult;Male;Working;Medium;Friends;Environment;Urban;Sport;Sometimes
Adult;Female;Student;Medium;Friends;Menu;Capital;Art;Sometimes
Adult;Female;Student;Medium;Friends;Music;Capital;Art;Sometimes
Adult;Female;Student;Small;Special events;Environment;Capital;Passive;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student_W;Small;Friends;Music;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Birthdays;Environment;Capital;Busy;Rarely
Adult;Female;Student_W;Small;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Special events;Pricing;Capital;Art;Rarely
Adult;Female;Student;High;Birthdays;Environment;Urban;Traveling;Rarely
Adult;Female;Student;Small;Never;Environment;Capital;Art;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student_W;Small;Never;Environment;Urban;Busy;Rarely
Adult;Male;Student;Medium;Never;Pricing;Urban;Busy;Rarely
Adult;Female;Student;Medium;Friends;Environment;Capital;Busy;Sometimes
Young;Female;Student;Medium;Friends;Music;Urban;Busy;Sometimes
Old;Male;Working;Medium;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Birthdays;Music;Capital;Busy;Rarely
Adult;Male;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Music;Urban;Art;Frequency
Adult;Male;Student_W;Medium;Friends;Music;Capital;Art;Sometimes
Adult;Female;Student_W;Small;Friends;Pricing;Capital;Traveling;Sometimes
Adult;Female;Student;Small;Never;Environment;Urban;Busy;Rarely
Adult;Female;Student;Medium;Friends;Environment;Urban;Traveling;Sometimes
Adult;Female;Student;Small;Friends;Pricing;Capital;Art;Rarely
Adult;Female;Student_W;Medium;Friends;Music;Capital;Traveling;Frequency
Old;Male;Working;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student_W;Medium;Friends;Environment;Capital;Traveling;Sometimes
Adult;Female;Student;Medium;Friends;Pricing;Capital;Busy;Frequency
Adult;Female;Student;Small;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Friends;Environment;Capital;Nightlife;Frequency
Adult;Male;Student;Small;Never;Environment;Urban;Busy;Sometimes
Old;Female;Working;Medium;Friends;Music;Capital;Busy;Rarely
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Traveling;Sometimes
Adult;Male;Student;High;Friends;Environment;Urban;Busy;Sometimes
Adult;Female;Student_W;Medium;Special events;Environment;Capital;Busy;Rarely
Young;Male;Student;Medium;Friends;Environment;Urban;Busy;Rarely
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Old;Female;Working;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student;Small;Friends;Environment;Urban;Busy;Sometimes
Adult;Female;Student;Small;Friends;Music;Capital;Nightlife;Frequency
Adult;Female;Student_W;High;Friends;Music;Capital;Busy;Frequency
Adult;Female;Student;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student_W;High;Birthdays;Environment;Capital;Traveling;Rarely
Adult;Female;Student_W;Small;Friends;Environment;Capital;Busy;Sometimes
Adult;Female;Student;Medium;Friends;Music;Capital;Traveling;Sometimes
Adult;Male;Student;High;Friends;Environment;Capital;Busy;Frequency
Adult;Female;Student;Medium;Special events;Music;Urban;Art;Rarely
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Friends;Environment;Capital;Busy;Rarely
Adult;Female;Student_W;Medium;Friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Small;Friends;Menu;Urban;Sport;Sometimes
