Age;Gender;Occupation;WTS;Occasions;Importance;Stratum;Lifestyle;Freq
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student + working;High;Hang outs with friends;Pricing;Capital;Passive;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Art;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Busy;Sometimes
Adult;Male;Student + working;High;Hang outs with friends;Environment;Capital;Traveling;Rarely
Adult;Male;Student;Medium;Hang outs with friends;Environment;Capital;Nightlife;Sometimes
Adult;Female;Student;Medium;Special events/parties;Environment;Capital;Art;Rarely
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Sport;Rarely
Adult;Female;Student;Small;Hang outs with friends;Environment;Capital;Traveling;Frequency
Adult;Male;Working;Medium;Special events/parties;Environment;Capital;Nightlife;Sometimes
Adult;Male;Student;Small;Hang outs with friends;Environment;Urban;Art;Sometimes
Young;Female;Student;Medium;Hang outs with friends;Music;Capital;Traveling;Sometimes
Adult;Male;Student;Small;Hang outs with friends;Environment;Capital;Sport;Sometimes
Adult;Female;Student;High;Birthdays;Environment;Rural;Sport;Rarely
Young;Female;Student;Medium;Hang outs with friends;Environment;Urban;Art;Rarely
Adult;Female;Student + working;Small;Birthdays;Environment;Urban;Traveling;Rarely
Young;Male;Student;High;Hang outs with friends;Environment;Capital;Busy;Rarely
Adult;Male;Student;High;Hang outs with friends;Environment;Capital;Nightlife;Frequency
Adult;Male;Student;Small;Hang outs with friends;Environment;Urban;Sport;Rarely
Adult;Male;Student + working;Medium;Hang outs with friends;Environment;Capital;Passive;Sometimes
Adult;Female;Student;Small;Hang outs with friends;Music;Capital;Traveling;Rarely
Adult;Female;Student;Small;Hang outs with friends;Menu;Capital;Art;Sometimes
